id,date,medtype,medium,headline,value,gold,lemmapos,lemmata
10293,2015-02-11T06:42:14Z,Internet,4 NOS.nl,"Minder winst bij ING Bank, wel weer dividend",0,FALSE,VNW_minder N_winst VZ_bij SPEC_ING_Bank BW_wel BW_weer N_dividend,minder winst bij ING_Bank wel weer dividend
10329,2015-02-12T07:17:58Z,Internet,4 NOS.nl,Rabobank verwacht dat huizenprijzen verder stijgen,0,FALSE,SPEC_Rabobank WW_verwachten VG_dat N_huizenprijs ADJ_ver WW_stijgen,Rabobank verwachten dat huizenprijs ver stijgen
10335,2015-02-12T08:56:25Z,Internet,4 NOS.nl,Laagste inflatie in 27 jaar,0,FALSE,ADJ_laag N_inflatie VZ_in TW_27 N_jaar,laag inflatie in 27 jaar
10355,2015-02-12T22:09:07Z,Internet,4 NOS.nl,Varoufakis: verstandig compromis bereikt,0,FALSE,N_varoufakis ADJ_verstandig N_compromis WW_bereiken,varoufakis verstandig compromis bereiken
10359,2015-02-13T07:31:48Z,Internet,4 NOS.nl,"Economie groeit 0,5 procent in vierde kwartaal",1,FALSE,"N_economie WW_groeien TW_0,5 N_procent VZ_in TW_vier N_kwartaal","economie groeien 0,5 procent in vier kwartaal"
10365,2015-02-13T09:22:38Z,Internet,4 NOS.nl,Kamp: signalen economie voorzichtig op groen,1,FALSE,SPEC_Kamp N_signaal N_economie ADJ_voorzichtig VZ_op ADJ_groen,Kamp signaal economie voorzichtig op groen
10367,2015-02-13T09:52:58Z,Internet,4 NOS.nl,Dijsselbloem pessimistisch over snelle stappen Grieken,-1,TRUE,SPEC_Dijsselbloem ADJ_pessimistisch VZ_over ADJ_snel WW_stappen SPEC_Grieken,Dijsselbloem pessimistisch over snel stappen Grieken
10381,2015-02-13T19:15:44Z,Internet,4 NOS.nl,De kleinste cao beschermt eeuwenoud vakmanschap,1,FALSE,ADJ_klein SPEC_cao WW_beschermen ADJ_eeuwenoud N_vakmanschap,klein cao beschermen eeuwenoud vakmanschap
10425,2015-02-16T11:07:06Z,Internet,4 NOS.nl,Japanse economie krabbelt op uit recessie,1,FALSE,ADJ_japanse N_economie WW_krabbelen VZ_op VZ_uit N_recessie,japanse economie krabbelen op uit recessie
10437,2015-02-16T14:03:36Z,Internet,4 NOS.nl,45 miljoen voor banen in Groningen,1,FALSE,TW_45 N_miljoen VZ_voor WW_banen VZ_in SPEC_Groningen,45 miljoen voor banen in Groningen
10509,2015-02-18T16:49:28Z,Internet,4 NOS.nl,Bonden akkoord met ontslagen Blokker,0,FALSE,N_bond ADJ_akkoord VZ_met WW_ontslaan N_blokker,bond akkoord met ontslaan blokker
10513,2015-02-19T04:19:46Z,Internet,4 NOS.nl,Grieken moeten vandaag over de brug komen,0,FALSE,SPEC_Grieken WW_moeten BW_vandaag VZ_over_de_brug WW_komen,Grieken moeten vandaag over_de_brug komen
10523,2015-02-19T12:09:49Z,Internet,4 NOS.nl,Grieken doen concessies aan Eurogroep,0,FALSE,SPEC_Grieken WW_doen N_concessie VZ_aan SPEC_Eurogroep,Grieken doen concessie aan Eurogroep
10541,2015-02-20T06:16:01Z,Internet,4 NOS.nl,ABN Amro verdubbelt de winst,1,FALSE,SPEC_ABN_Amro WW_verdubbelen N_winst,ABN_Amro verdubbelen winst
10549,2015-02-20T10:47:26Z,Internet,4 NOS.nl,V&D verlaagt de lonen nog niet in februari,0,FALSE,SPEC_V N_d WW_verlagen N_loon BW_nog BW_niet VZ_in SPEC_februari,V d verlagen loon nog niet in februari
10561,2015-02-20T15:59:36Z,Internet,4 NOS.nl,SER: werknemers moeten weer WW-premie betalen,0,FALSE,SPEC_SER N_werknemer WW_moeten BW_weer N_ww-premie WW_betalen,SER werknemer moeten weer ww-premie betalen
10565,2015-02-20T19:46:00Z,Internet,4 NOS.nl,Akkoord over verlenging Grieks steunprogramma,0,FALSE,ADJ_akkoord VZ_over N_verlenging ADJ_grieks N_steunprogramma,akkoord over verlenging grieks steunprogramma
10571,2015-02-21T11:21:58Z,Internet,4 NOS.nl,Oxford dreigt onbetaalbaar te worden,-1,FALSE,SPEC_Oxford WW_dreigen ADJ_onbetaalbaar VZ_te WW_worden,Oxford dreigen onbetaalbaar te worden
10585,2015-02-22T08:26:16Z,Internet,4 NOS.nl,Grieken: van een kale kip kan je niet plukken,0,FALSE,SPEC_Grieken VZ_van ADJ_kaal N_kip WW_kunnen VNW_je BW_niet WW_plukken,Grieken van kaal kip kunnen je niet plukken
10595,2015-02-22T16:55:41Z,Internet,4 NOS.nl,Europa belooft hulp aan varkensboeren,1,FALSE,SPEC_Europa WW_beloven N_hulp VZ_aan N_varkensboer,Europa beloven hulp aan varkensboer
10605,2015-02-23T11:35:52Z,Internet,4 NOS.nl,V&D mag lonen vakbondsleden niet verlagen,0,FALSE,SPEC_V N_d WW_mogen N_loon N_vakbondslid BW_niet WW_verlagen,V d mogen loon vakbondslid niet verlagen
10607,2015-02-23T11:39:19Z,Internet,4 NOS.nl,V&D vecht al weken voor voortbestaan,-1,FALSE,SPEC_V N_d WW_vecht BW_al N_week VZ_voor WW_voortbestaan,V d vecht al week voor voortbestaan
10613,2015-02-23T16:36:29Z,Internet,4 NOS.nl,Grieks voorstel laat nog even op zich wachten,0,FALSE,ADJ_grieks N_voorstel WW_laten BW_nog BW_even VZ_op VNW_zich WW_wachten,grieks voorstel laten nog even op zich wachten
10631,2015-02-24T07:55:18Z,Internet,4 NOS.nl,Griekenland levert lijst met hervormingsplannen in,0,FALSE,SPEC_Griekenland WW_leveren N_lijst VZ_met N_hervormingsplan VZ_in,Griekenland leveren lijst met hervormingsplan in
10645,2015-02-24T14:17:45Z,Internet,4 NOS.nl,Eurogroep verlengt Grieks noodprogramma,1,FALSE,N_eurogroep WW_verlengen SPEC_Grieks N_noodprogramma,eurogroep verlengen Grieks noodprogramma
10647,2015-02-24T16:04:24Z,Internet,4 NOS.nl,Tweede Kamer positief over Grieks hervormingsplan,1,FALSE,TW_twee N_kamer ADJ_positief VZ_over ADJ_grieks N_hervormingsplan,twee kamer positief over grieks hervormingsplan
10689,2015-02-26T07:23:28Z,Internet,4 NOS.nl,Rabobank: resultaten moeten beter,-1,FALSE,SPEC_Rabobank N_resultaat WW_moeten ADJ_goed,Rabobank resultaat moeten goed
10691,2015-02-26T08:14:42Z,Internet,4 NOS.nl,Malaise in de bouw bezorgt Heijmans rode cijfers,-1,FALSE,N_malaise VZ_in N_bouw WW_bezorgen SPEC_Heijmans ADJ_rood N_cijfer,malaise in bouw bezorgen Heijmans rood cijfer
10693,2015-02-26T09:25:07Z,Internet,4 NOS.nl,Werkloosheid stijgt licht in januari,-1,FALSE,N_werkloosheid WW_stijgen ADJ_licht VZ_in SPEC_januari,werkloosheid stijgen licht in januari
10699,2015-02-26T10:42:44Z,Internet,4 NOS.nl,'Wereld heeft niets geleerd van Nick Leeson',-1,FALSE,N_wereld WW_hebben VNW_niets WW_leren VZ_van SPEC_Nick_Leeson,wereld hebben niets leren van Nick_Leeson
10729,2015-02-27T06:49:08Z,Internet,4 NOS.nl,Fugro boekt groot verlies door lage olieprijs,-1,FALSE,SPEC_Fugro WW_boeken ADJ_groot N_verlies VZ_door ADJ_laag N_olieprijs,Fugro boeken groot verlies door laag olieprijs
10759,2015-02-27T20:38:13Z,Internet,4 NOS.nl,Tsipras: nieuw steunprogramma niet nodig,0,FALSE,N_tsipras ADJ_nieuw N_steunprogramma BW_niet ADJ_nodig,tsipras nieuw steunprogramma niet nodig
10769,2015-02-28T08:11:28Z,Internet,4 NOS.nl,India wil verder groeien en hervormen,0,FALSE,SPEC_India WW_willen ADJ_ver WW_groeien VG_en WW_hervormen,India willen ver groeien en hervormen
10777,2015-02-28T12:35:37Z,Internet,4 NOS.nl,Rutte: pas trots als de crisis voor iedereen voorbij is,0,FALSE,SPEC_Rutte BW_pas ADJ_trots VG_als N_crisis VZ_voor VNW_iedereen ADJ_voorbij WW_zijn,Rutte pas trots als crisis voor iedereen voorbij zijn
10815,2015-03-02T11:20:43Z,Internet,4 NOS.nl,Werkloosheid eurozone daalt naar laagste peil in 3 jaar,1,FALSE,N_werkloosheid N_eurozone WW_dalen VZ_naar ADJ_laag N_peil VZ_in TW_3 N_jaar,werkloosheid eurozone dalen naar laag peil in 3 jaar
10831,2015-03-02T22:37:47Z,Internet,4 NOS.nl,Varoufakis: Grexit is het slechtste scenario,-1,FALSE,N_varoufakis N_grexit WW_zijn ADJ_slecht N_scenario,varoufakis grexit zijn slecht scenario
10867,2015-03-04T18:54:27Z,Internet,4 NOS.nl,In Nederland komen ondernemers moeilijk aan krediet,-1,FALSE,VZ_in SPEC_Nederland WW_komen N_ondernemer ADJ_moeilijk VZ_aan N_krediet,in Nederland komen ondernemer moeilijk aan krediet
10871,2015-03-05T05:38:42Z,Internet,4 NOS.nl,China wil werken aan stabiele groei,1,FALSE,SPEC_China WW_willen WW_werken VZ_aan ADJ_stabiel N_groei,China willen werken aan stabiel groei
10877,2015-03-05T10:04:58Z,Internet,4 NOS.nl,Inflatie stijgt weer iets,0,FALSE,N_inflatie WW_stijgen BW_weer VNW_iets,inflatie stijgen weer iets
10881,2015-03-05T10:59:19Z,Internet,4 NOS.nl,Dijsselbloem: niet extra bezuinigen,0,TRUE,SPEC_Dijsselbloem BW_niet ADJ_extra WW_bezuinigen,Dijsselbloem niet extra bezuinigen
10905,2015-03-06T00:16:38Z,Internet,4 NOS.nl,Dijsselbloem: tot 2 miljard minder door gas,-1,FALSE,SPEC_Dijsselbloem VZ_tot TW_2 N_miljard VNW_minder VZ_door N_gas,Dijsselbloem tot 2 miljard minder door gas
10929,2015-03-06T13:51:54Z,Internet,4 NOS.nl,Duitse wet voor meer vrouwen in topfuncties,0,FALSE,ADJ_duitse N_wet VZ_voor VNW_veel N_vrouw VZ_in N_topfunctie,duitse wet voor veel vrouw in topfunctie
10951,2015-03-07T04:08:27Z,Internet,4 NOS.nl,Meeste pensioenpremies naar beneden,0,FALSE,VNW_meest N_pensioenpremie VZ_naar VZ_beneden,meest pensioenpremie naar beneden
10981,2015-03-09T05:00:38Z,Internet,4 NOS.nl,Record aan buitenlandse investeringen,1,FALSE,SPEC_Record VZ_aan ADJ_buitenlands N_investering,Record aan buitenlands investering
10991,2015-03-09T08:57:46Z,Internet,4 NOS.nl,Gevraagd: 60 miljard euro staatsschuld,0,FALSE,WW_vragen TW_60 N_miljard N_euro N_staatsschuld,vragen 60 miljard euro staatsschuld
10997,2015-03-09T13:17:22Z,Internet,4 NOS.nl,Hoe pompt de ECB extra geld in de economie?,0,FALSE,BW_hoe WW_pompen SPEC_ECB ADJ_extra N_geld VZ_in N_economie,hoe pompen ECB extra geld in economie
11003,2015-03-09T15:15:34Z,Internet,4 NOS.nl,Dijsselbloem: gesprek Griekenland gaat te langzaam,-1,FALSE,SPEC_Dijsselbloem N_gesprek SPEC_Griekenland WW_gaan BW_te ADJ_langzaam,Dijsselbloem gesprek Griekenland gaan te langzaam
11045,2015-03-10T22:00:58Z,Internet,4 NOS.nl,Winst Wall Street smelt weg,-1,FALSE,N_winst SPEC_Wall_Street WW_smelten BW_weg,winst Wall_Street smelten weg
11051,2015-03-11T07:46:32Z,Internet,4 NOS.nl,Telegraaf lijdt weer verlies,-1,FALSE,SPEC_Telegraaf WW_lijden BW_weer N_verlies,Telegraaf lijden weer verlies
11053,2015-03-11T07:54:29Z,Internet,4 NOS.nl,Watersportsector krijgt weer hoop na zware crisis,0,FALSE,N_watersportsector WW_krijgen BW_weer N_hoop VZ_na ADJ_zwaar N_crisis,watersportsector krijgen weer hoop na zwaar crisis
11059,2015-03-11T08:55:41Z,Internet,4 NOS.nl,"McDonald's: meer klanten, meer omzet",1,FALSE,SPEC_McDonald VNW_veel N_klant VNW_veel N_omzet,McDonald veel klant veel omzet
11105,2015-03-12T12:18:35Z,Internet,4 NOS.nl,DNB waarschuwt voor zeepbellen,-1,FALSE,SPEC_DNB WW_waarschuwen VZ_voor N_zeepbel,DNB waarschuwen voor zeepbel
11107,2015-03-12T12:30:05Z,Internet,4 NOS.nl,Kamer steunt doorwerken na pensioen,1,FALSE,SPEC_Kamer WW_steunen WW_doorwerken VZ_na N_pensioen,Kamer steunen doorwerken na pensioen
11143,2015-03-13T09:58:47Z,Internet,4 NOS.nl,Dijsselbloem: Griekenland geeft anderen de schuld,0,FALSE,SPEC_Dijsselbloem SPEC_Griekenland WW_geven ADJ_ander N_schuld,Dijsselbloem Griekenland geven ander schuld
11169,2015-03-15T07:46:42Z,Internet,4 NOS.nl,Chinese premier: 7 procent groei 'het nieuwe normaal',0,FALSE,ADJ_chinese N_premier TW_7 N_procent N_groei ADJ_nieuw N_normaal,chinese premier 7 procent groei nieuw normaal
11185,2015-03-16T10:02:06Z,Internet,4 NOS.nl,Werkende Nederlander ziet koopkracht sterkst stijgen,1,FALSE,ADJ_werkend SPEC_Nederlander WW_zien N_koopkracht ADJ_sterk WW_stijgen,werkend Nederlander zien koopkracht sterk stijgen
11191,2015-03-16T12:40:04Z,Internet,4 NOS.nl,Aandelenbeurzen zetten koersopmars voort,1,TRUE,N_aandelenbeurs WW_zetten N_koersopmars BW_voort,aandelenbeurs zetten koersopmars voort
11225,2015-03-17T10:32:04Z,Internet,4 NOS.nl,'Fingergate' zet Duits-Griekse relatie verder onder druk,-1,FALSE,SPEC_Fingergate WW_zetten ADJ_duits-griekse N_relatie ADJ_ver VZ_onder ADJ_druk,Fingergate zetten duits-griekse relatie ver onder druk
11229,2015-03-17T12:01:21Z,Internet,4 NOS.nl,"Betalen om te sparen, kan dat?",0,FALSE,WW_betalen VZ_om VZ_te WW_sparen WW_kunnen VNW_dat,betalen om te sparen kunnen dat
11301,2015-03-19T17:30:02Z,Internet,4 NOS.nl,'De Grieken lijken op ramkoers te liggen',-1,FALSE,SPEC_De_Grieken WW_lijken VZ_op N_ramkoers VZ_te WW_liggen,De_Grieken lijken op ramkoers te liggen
11311,2015-03-19T21:46:09Z,Internet,4 NOS.nl,Crisisoverleg EU-leiders en Grieken van start,0,FALSE,WW_crisisoverleg N_eu-leider VG_en SPEC_Grieken VZ_van_start,crisisoverleg eu-leider en Grieken van_start
11343,2015-03-20T15:57:07Z,Internet,4 NOS.nl,Brabants Energieakkoord  levert 5.000 banen op,1,FALSE,SPEC_Brabants_Energieakkoord WW_leveren TW_5.000 N_baan VZ_op,Brabants_Energieakkoord leveren 5.000 baan op
11365,2015-03-21T11:46:24Z,Internet,4 NOS.nl,'Niet eens genoeg geld om een biertje te kopen',-1,FALSE,BW_niet BW_eens BW_genoeg N_geld VZ_om N_bier VZ_te WW_kopen,niet eens genoeg geld om bier te kopen
11373,2015-03-21T19:11:39Z,Internet,4 NOS.nl,Duizenden Ieren de straat op voor waterbelasting,0,FALSE,N_duizend SPEC_Ieren N_straat VZ_op VZ_voor N_waterbelasting,duizend Ieren straat op voor waterbelasting
11407,2015-03-23T13:34:56Z,Internet,4 NOS.nl,Huishoudelijke hulp tijdelijk goedkoper,0,FALSE,ADJ_huishoudelijk N_hulp ADJ_tijdelijk ADJ_goedkoop,huishoudelijk hulp tijdelijk goedkoop
11415,2015-03-23T18:20:53Z,Internet,4 NOS.nl,Wat moeten de Grieken nu doen?,0,FALSE,VNW_wat WW_moeten SPEC_Grieken BW_nu WW_doen,wat moeten Grieken nu doen
11421,2015-03-24T06:59:50Z,Internet,4 NOS.nl,45-plussers vaker in de schuldsanering,-1,FALSE,N_45-plussers ADJ_vaak VZ_in N_schuldsanering,45-plussers vaak in schuldsanering
11467,2015-03-25T17:26:50Z,Internet,4 NOS.nl,Ploumen positief over omstreden handelsverdrag TTIP,1,FALSE,N_ploumen ADJ_positief VZ_over ADJ_omstreden N_handelsverdrag N_ttip,ploumen positief over omstreden handelsverdrag ttip
11469,2015-03-25T18:36:51Z,Internet,4 NOS.nl,Grootste Nederlandse deurfabrikant failliet,0,FALSE,ADJ_groot ADJ_nederlands N_deurfabrikant ADJ_failliet,groot nederlands deurfabrikant failliet
11473,2015-03-25T19:16:36Z,Internet,4 NOS.nl,Miljoeneninvestering in schoonmaak-startup,0,FALSE,N_miljoeneninvestering VZ_in N_schoonmaak-startup,miljoeneninvestering in schoonmaak-startup
11559,2015-03-28T11:32:00Z,Internet,4 NOS.nl,China neemt voortouw in nieuwe investeringsbank,1,FALSE,SPEC_China WW_nemen N_voortouw VZ_in ADJ_nieuw N_investeringsbank,China nemen voortouw in nieuw investeringsbank
11583,2015-03-30T07:56:20Z,Internet,4 NOS.nl,'Lijst met Griekse hervormingen afgekeurd',-1,FALSE,N_lijst VZ_met ADJ_griekse N_hervorming WW_afkeuren,lijst met griekse hervorming afkeuren
11611,2015-03-30T19:04:28Z,Internet,4 NOS.nl,Exporteurs rekenen op groei van 9 procent,1,FALSE,N_exporteur WW_rekenen VZ_op N_groei VZ_van TW_9 N_procent,exporteur rekenen op groei van 9 procent
11639,2015-03-31T13:34:16Z,Internet,4 NOS.nl,Asscher pakt schijnconstructies pakketbezorgers aan,0,FALSE,ADJ_asscher WW_pakken N_schijnconstructie N_pakketbezorger VZ_aan,asscher pakken schijnconstructie pakketbezorger aan
11647,2015-03-31T14:59:04Z,Internet,4 NOS.nl,Meer hulp voor werkloze migrantenjongeren,-1,FALSE,VNW_veel N_hulp VZ_voor ADJ_werkloos N_migrantenjongere,veel hulp voor werkloos migrantenjongere
11673,2015-04-01T08:05:00Z,Internet,4 NOS.nl,Fors meer file door herstel economie,1,FALSE,SPEC_Fors VNW_veel N_file VZ_door N_herstel N_economie,Fors veel file door herstel economie
11679,2015-04-01T11:30:57Z,Internet,4 NOS.nl,Bezuinigingen NFI gaan door,0,FALSE,N_bezuiniging SPEC_NFI WW_gaan VZ_door,bezuiniging NFI gaan door
11685,2015-04-01T13:44:29Z,Internet,4 NOS.nl,Coalitie vergadert over nieuw belastingstelsel,0,FALSE,N_coalitie WW_vergaderen VZ_over ADJ_nieuw N_belastingstelsel,coalitie vergaderen over nieuw belastingstelsel
11713,2015-04-02T11:56:05Z,Internet,4 NOS.nl,PvdA-fracties Brussel en Den Haag tegen TTIP,-1,FALSE,SPEC_PvdA-fracties_Brussel VG_en SPEC_Den_Haag VZ_tegen N_ttip,PvdA-fracties_Brussel en Den_Haag tegen ttip
11745,2015-04-03T13:03:10Z,Internet,4 NOS.nl,Cyprus heft laatste restricties op na crisis,1,TRUE,SPEC_Cyprus WW_heffen ADJ_laat N_restrictie VZ_op VZ_na N_crisis,Cyprus heffen laat restrictie op na crisis
11749,2015-04-03T17:10:43Z,Internet,4 NOS.nl,V&D zoekt guerrillastrategieën,0,FALSE,SPEC_V N_d WW_zoeken N_guerrillastrategie,V d zoeken guerrillastrategie
11775,2015-04-06T01:48:07Z,Internet,4 NOS.nl,IMF blij met toezegging Griekenland,1,FALSE,SPEC_IMF ADJ_blij VZ_met N_toezegging SPEC_Griekenland,IMF blij met toezegging Griekenland
11783,2015-04-07T09:22:31Z,Internet,4 NOS.nl,Amsterdam trekt miljoenen uit tegen jeugdwerkloosheid,-1,FALSE,SPEC_Amsterdam WW_trekken N_miljoen VZ_uit VZ_tegen N_jeugdwerkloosheid,Amsterdam trekken miljoen uit tegen jeugdwerkloosheid
11805,2015-04-07T15:37:53Z,Internet,4 NOS.nl,AEX voor eerst in 7 jaar boven de 500 punten,1,FALSE,SPEC_AEX VZ_voor BW_eerst VZ_in TW_7 N_jaar VZ_boven TW_500 N_punt,AEX voor eerst in 7 jaar boven 500 punt
11869,2015-04-09T08:00:12Z,Internet,4 NOS.nl,Inflatie opnieuw iets gestegen,0,FALSE,N_inflatie BW_opnieuw VNW_iets WW_stijgen,inflatie opnieuw iets stijgen
11871,2015-04-09T08:00:35Z,Internet,4 NOS.nl,NVM: woningmarkt in rustiger vaarwater,0,FALSE,SPEC_NVM N_woningmarkt VZ_in ADJ_rustig N_vaarwater,NVM woningmarkt in rustig vaarwater
11873,2015-04-09T09:02:45Z,Internet,4 NOS.nl,Wat doen de huizenprijzen bij u in de buurt?,0,FALSE,VNW_wat WW_doen N_huizenprijs VZ_bij VNW_u VZ_in N_buurt,wat doen huizenprijs bij u in buurt
11889,2015-04-09T14:40:55Z,Internet,4 NOS.nl,'Hogere gemeentebelasting kan banen opleveren',1,FALSE,ADJ_hoog N_gemeentebelasting WW_kunnen N_baan WW_opleveren,hoog gemeentebelasting kunnen baan opleveren
11945,2015-04-11T09:04:50Z,Internet,4 NOS.nl,Dijkhoff: cybercrime begint economie te raken,-1,FALSE,SPEC_Dijkhoff N_cybercrime WW_beginnen N_economie VZ_te WW_raken,Dijkhoff cybercrime beginnen economie te raken
11973,2015-04-13T09:44:04Z,Internet,4 NOS.nl,CPB: Kilometerheffing moeilijk uitvoerbaar,-1,FALSE,SPEC_CPB N_kilometerheffing ADJ_moeilijk ADJ_uitvoerbaar,CPB kilometerheffing moeilijk uitvoerbaar
11979,2015-04-13T12:41:11Z,Internet,4 NOS.nl,'Je kan niet bezuinigen op thuiszorg en tegelijk verpleeghuizen,0,FALSE,VNW_je WW_kunnen BW_niet WW_bezuinigen VZ_op N_thuiszorg VG_en BW_tegelijk N_verpleeghuis,je kunnen niet bezuinigen op thuiszorg en tegelijk verpleeghuis
11999,2015-04-14T08:39:54Z,Internet,4 NOS.nl,Raad van State ziet geen ruimte voor lastenverlichting,-1,FALSE,SPEC_Raad_van_State WW_zien VNW_geen N_ruimte VZ_voor N_lastenverlichting,Raad_van_State zien geen ruimte voor lastenverlichting
12003,2015-04-14T10:13:32Z,Internet,4 NOS.nl,Nederlandse export zet stijgende lijn door,1,FALSE,ADJ_nederlands N_export WW_zetten WW_stijgen N_lijn VZ_door,nederlands export zetten stijgen lijn door
12005,2015-04-14T11:17:49Z,Internet,4 NOS.nl,"Zorgen over zeepbellen, verzekeraars en bonussen",-1,FALSE,N_zorg VZ_over N_zeepbel N_verzekeraar VG_en N_bonus,zorg over zeepbel verzekeraar en bonus
12009,2015-04-14T13:20:12Z,Internet,4 NOS.nl,Pensioenen ABP volgend jaar niet omhoog,-1,FALSE,N_pensioen SPEC_ABP WW_volgen N_jaar BW_niet BW_omhoog,pensioen ABP volgen jaar niet omhoog
12021,2015-04-14T15:31:01Z,Internet,4 NOS.nl,IMF: meer groei Europa en Nederland,1,FALSE,SPEC_IMF VNW_veel N_groei SPEC_Europa VG_en SPEC_Nederland,IMF veel groei Europa en Nederland
